_id,query,searched,downloaded
6387a609727ddf9f05e7f1aa,WaveTTS,0,-1
6387a609727ddf9f05e7f1ac,DropConnect,52,-1
6387a609727ddf9f05e7f1ae,Procrustes,6,-1
6387a609727ddf9f05e7f1b0,BAM,200,-1
6387a609727ddf9f05e7f1b2,Patch AutoAugment,4,-1
6387a609727ddf9f05e7f1b4,Deformable Kernel,16,-1
6387a609727ddf9f05e7f1b6,Class Activation Guided Attention Mechanism (CAGAM),0,-1
6387a609727ddf9f05e7f1b8,Hierarchical-Split Block,100,-1
6387a609727ddf9f05e7f1ba,Feedback Alignment,70,-1
6387a609727ddf9f05e7f1bc,Graph InfoClust,0,-1
6387a609727ddf9f05e7f1be,Targeted Dropout,98,-1
6387a609727ddf9f05e7f1c0,Conditional Positional Encoding,14,-1
6387a609727ddf9f05e7f1c2,CornerNet,26,-1
6387a609727ddf9f05e7f1c4,CP conv,200,-1
6387a609727ddf9f05e7f1c6,FixMatch,4,-1
6387a609727ddf9f05e7f1c8,SM3,25,-1
6387a609727ddf9f05e7f1ca,Set Transformer,200,-1
6387a609727ddf9f05e7f1cc,GCU,18,-1
6387a609727ddf9f05e7f1ce,Focal Transformers,80,-1
6387a609727ddf9f05e7f1d0,HyperHyperNetwork,0,-1
6387a609727ddf9f05e7f1d2,Compressed Memory,200,-1
6387a609727ddf9f05e7f1d4,KIP,39,-1
6387a609727ddf9f05e7f1d6,DenseNAS-A,0,-1
6387a609727ddf9f05e7f1d8,Fixed Factorized Attention,13,-1
6387a609727ddf9f05e7f1da,Rational Activation Function,43,-1
6387a609727ddf9f05e7f1dc,HFPSO,0,-1
6387a609727ddf9f05e7f1de,CornerNet-Saccade,0,-1
6387a609727ddf9f05e7f1e0,TS,200,-1
6387a609727ddf9f05e7f1e2,VL-BERT,15,-1
6387a609727ddf9f05e7f1e4,Value Imputation and Mask Estimation,36,-1
6387a609727ddf9f05e7f1e6,Parameterized ReLU,55,-1
6387a609727ddf9f05e7f1e8,Table Pre-training via Execution,45,-1
6387a609727ddf9f05e7f1ea,SABL,39,-1
6387a609727ddf9f05e7f1ec,Bi-Directional Graph Convolutional Network,10,-1
6387a609727ddf9f05e7f1ee,Inception-A,200,-1
6387a609727ddf9f05e7f1f0,Soft Nearest Neighbor Loss with Annealing Temperature,0,-1
6387a609727ddf9f05e7f1f2,AdaSmooth,0,-1
6387a609727ddf9f05e7f1f4,LightConv,0,-1
