_id,query,searched,downloaded
6387a609727ddf9f05e7f0c8,StereoLayers,0,-1
6387a609727ddf9f05e7f0ca,Generalized Focal Loss,21,-1
6387a609727ddf9f05e7f0cc,Graph Convolutional Network,200,-1
6387a609727ddf9f05e7f0ce,LiteSeg,0,-1
6387a609727ddf9f05e7f0d0,Criss-Cross Network,0,-1
6387a609727ddf9f05e7f0d2,Mogrifier LSTM,0,-1
6387a609727ddf9f05e7f0d4,Randomized Leaky Rectified Linear Units,0,-1
6387a609727ddf9f05e7f0d6,Pointwise Convolution,71,-1
6387a609727ddf9f05e7f0d8,LDA,200,-1
6387a609727ddf9f05e7f0da,Tacotron,14,-1
6387a609727ddf9f05e7f0dc,VEGA,200,-1
6387a609727ddf9f05e7f0de,StyleALAE,2,-1
6387a609727ddf9f05e7f0e0,ShuffleNet V2 Block,6,-1
6387a609727ddf9f05e7f0e2,FBNet Block,1,-1
6387a609727ddf9f05e7f0e4,ALDEN,20,-1
6387a609727ddf9f05e7f0e6,UORO,3,-1
6387a609727ddf9f05e7f0e8,ResNeSt,200,-1
6387a609727ddf9f05e7f0ea,ENet Initial Block,8,-1
6387a609727ddf9f05e7f0ec,ShuffleNet Block,11,-1
6387a609727ddf9f05e7f0ee,TernaryBERT,0,-1
6387a609727ddf9f05e7f0f0,MoNet,200,-1
6387a609727ddf9f05e7f0f2,gSDE,2,-1
6387a609727ddf9f05e7f0f4,FLAVR,0,-1
6387a609727ddf9f05e7f0f6,Center-pivot convolution,4,-1
6387a609727ddf9f05e7f0f8,Gaussian Gated Linear Network,15,-1
6387a609727ddf9f05e7f0fa,3D ResNet-RS,16,-1
6387a609727ddf9f05e7f0fc,wav2vec-U,15,-1
6387a609727ddf9f05e7f0fe,Fast Minimum-Norm Attack,12,-1
6387a609727ddf9f05e7f100,RSU Beneš Block,0,-1
6387a609727ddf9f05e7f102,YOLOX,148,-1
6387a609727ddf9f05e7f104,Siamese U-Net,27,-1
6387a609727ddf9f05e7f106,VoiceFilter-Lite,0,-1
6387a609727ddf9f05e7f108,NUQSGD,0,-1
6387a609727ddf9f05e7f10a,Inception-ResNet-v2-B,68,-1
6387a609727ddf9f05e7f10c,Multi-band MelGAN,0,-1
6387a609727ddf9f05e7f10e,VoVNet,4,-1
6387a609727ddf9f05e7f110,Extremely Efficient Spatial Pyramid of Depth-wise Dilated Separable Convolutions,2,-1
6387a609727ddf9f05e7f112,AdaMod,6,-1
6387a609727ddf9f05e7f114,Single-Shot Multi-Object Tracker,4,-1
6387a609727ddf9f05e7f116,Temporal Jittering,6,-1
6387a609727ddf9f05e7f118,ASAF,28,-1
6387a609727ddf9f05e7f11a,TuckER-RP,1,-1
6387a609727ddf9f05e7f11c,AdaMax,200,-1
6387a609727ddf9f05e7f11e,Track objects as points,200,-1
6387a609727ddf9f05e7f120,FairMOT,3,-1
6387a609727ddf9f05e7f122,Synthetic Minority Over-sampling Technique.,200,-1
6387a609727ddf9f05e7f124,Hierarchical MTL,1,-1
6387a609727ddf9f05e7f126,Adversarial Model Perturbation,47,-1
