_id,query,searched,downloaded
63876440727ddf9f05e5837a,Gravity,-1,-1
63876440727ddf9f05e5839e,Discrete Cosine Transform,-1,-1
63876440727ddf9f05e583aa,Gated Linear Network,-1,-1
63876440727ddf9f05e583b0,Weight Decay,-1,-1
63876440727ddf9f05e583b2,BiGG,-1,-1
63876440727ddf9f05e583b4,Accuracy-Robustness Area,-1,-1
63876440727ddf9f05e583b6,DynaBERT,-1,-1
63876440727ddf9f05e583ba,Dot-Product Attention,-1,-1
63876440727ddf9f05e583bc,You Only Hypothesize Once,-1,-1
63876440727ddf9f05e583c2,Polynomial Rate Decay,-1,-1
63876440727ddf9f05e583c4,Global Average Pooling,-1,-1
63876440727ddf9f05e583c6,Fast-YOLOv4-SmallObj,-1,-1
63876440727ddf9f05e583c8,PCB,-1,-1
63876440727ddf9f05e583ca,EfficientUNet++,-1,-1
63876440727ddf9f05e583cc,Gradient Sign Dropout,-1,-1
63876440727ddf9f05e583ce,GPT,-1,-1
63876440727ddf9f05e583d0,Blink Communication,-1,-1
63876440727ddf9f05e583d2,ENet,-1,-1
63876440727ddf9f05e583d4,SCCL,-1,-1
63876440727ddf9f05e583d6,SNIP,-1,-1
63876440727ddf9f05e583d8,QRNN,-1,-1
63876440727ddf9f05e583da,Early exiting using confidence measures,-1,-1
63876440727ddf9f05e583dc,BASNet,-1,-1
63876440727ddf9f05e583de,Gradient Clipping,-1,-1
63876440727ddf9f05e583e0,Visual-Linguistic BERT,-1,-1
63876440727ddf9f05e583e2,Temporal Word Embeddings with a Compass,-1,-1
63876440727ddf9f05e583e4,DGRF,-1,-1
63876440727ddf9f05e583e6,Wide Residual Block,-1,-1
63876440727ddf9f05e583e8,LayoutLMv2,-1,-1
63876440727ddf9f05e583ea,VQSVD,-1,-1
63876440727ddf9f05e583ec,Neural Radiance Field,-1,-1
63876440727ddf9f05e583ee,Hierarchical Style Disentanglement,-1,-1
63876440727ddf9f05e583f0,Models Genesis,-1,-1
63876440727ddf9f05e583f2,Explanation vs Attention,-1,-1
63876440727ddf9f05e583f4,Deformable Convolutional Networks,-1,-1
63876440727ddf9f05e583f6,Embedded Gaussian Affinity,-1,-1
63876440727ddf9f05e583f8,utterance level permutation invariant training,-1,-1
63876440727ddf9f05e583fa,ACTKR,-1,-1
63876440727ddf9f05e583fc,Weight Normalization,-1,-1
63876440727ddf9f05e583fe,LFPNet with test time augmentation,-1,-1
63876440727ddf9f05e58400,Confidence Calibration with an Auxiliary Class),-1,-1
63876440727ddf9f05e58402,Channel Shuffle,-1,-1
63876440727ddf9f05e58404,COCO-FUNIT,-1,-1
63876440727ddf9f05e58406,KungFu,-1,-1
63876440727ddf9f05e58408,Difference of Gaussian Random Forest,-1,-1
63876440727ddf9f05e5840a,Linear Warmup,-1,-1
63876440727ddf9f05e5840c,IQ-Learn,-1,-1
63876440727ddf9f05e5840e,Routing Transformer,-1,-1
63876440727ddf9f05e58410,Online Hard Example Mining,-1,-1
63876440727ddf9f05e58412,DeLighT Block,-1,-1
63876440727ddf9f05e58414,TridentNet,-1,-1
63876440727ddf9f05e58416,Assemble-ResNet,-1,-1
63876440727ddf9f05e58418,ORB-SLAM2,-1,-1
63876440727ddf9f05e5841a,scSE,-1,-1
63876440727ddf9f05e5841c,Direct Feedback Alignment,-1,-1
63876440727ddf9f05e5841e,Go-Explore,-1,-1
63876440727ddf9f05e58420,BART,-1,-1
63876440727ddf9f05e58422,Class-activation map,-1,-1
63876440727ddf9f05e58424,Location Sensitive Attention,-1,-1
63876440727ddf9f05e58426,Stable Rank Normalization,-1,-1
63876440727ddf9f05e58428,SCST,-1,-1
63876440727ddf9f05e5842a,Video Language Graph Matching Network,-1,-1
63876440727ddf9f05e5842c,Style Transfer Module,-1,-1
63876440727ddf9f05e5842e,Deep-CAPTCHA,-1,-1
63876440727ddf9f05e58430,PSPNet,-1,-1
63876440727ddf9f05e58432,ProxyOptimization,-1,-1
63876440727ddf9f05e58434,Fixup Initialization,-1,-1
63876440727ddf9f05e58436,FT-Transformer,-1,-1
63876440727ddf9f05e58438,Segregated Attention Network,-1,-1
63876440727ddf9f05e5843a,Projection Discriminator,-1,-1
63876440727ddf9f05e5843c,Movement Pruning,-1,-1
63876440727ddf9f05e5843e,Autoencoders,-1,-1
63876440727ddf9f05e58440,Local SGD,-1,-1
63876440727ddf9f05e58442,BASE,-1,-1
63876440727ddf9f05e58444,GEE,-1,-1
63876440727ddf9f05e58446,HetPipe,-1,-1
63876440727ddf9f05e58448,GHM-R,-1,-1
63876440727ddf9f05e5844a,NAM,-1,-1
63876440727ddf9f05e5844c,Deactivable Skip Connection,-1,-1
63876440727ddf9f05e5844e,FastPitch,-1,-1
63876440727ddf9f05e58450,Residual Multi-Layer Perceptrons,-1,-1
63876440727ddf9f05e58452,Kernel Activation Function,-1,-1
63876440727ddf9f05e58454,TabNN,-1,-1
63876440727ddf9f05e58456,CKConv,-1,-1
63876440727ddf9f05e58458,Generic RoI Extractor,-1,-1
63876440727ddf9f05e5845a,Random Ensemble Mixture,-1,-1
63876440727ddf9f05e5845c,GPS,-1,-1
63876440727ddf9f05e5845e,YOLOv3,-1,-1
63876440727ddf9f05e58460,Convolutional Vision Transformer,-1,-1
63876440727ddf9f05e58462,ATSS,-1,-1
63876440727ddf9f05e58464,GAN Feature Matching,-1,-1
63876440727ddf9f05e58466,Domain-Symmetric Network,-1,-1
63876440727ddf9f05e58468,Linear Layer,-1,-1
63876440727ddf9f05e5846a,SOM,-1,-1
63876440727ddf9f05e5846c,Faster R-CNN,-1,-1
63876440727ddf9f05e5846e,bilayer convolutional neural network,-1,-1
63876440727ddf9f05e58470,Gait Emotion Recognition,-1,-1
63876440727ddf9f05e58472,CCAC,-1,-1
63876440727ddf9f05e58474,mBART,-1,-1
63876440727ddf9f05e58476,Span-Based Dynamic Convolution,-1,-1
63876440727ddf9f05e58478,GMI,-1,-1
63876440727ddf9f05e5847a,PNAS,-1,-1
63876440727ddf9f05e5847c,Harris Hawks optimization (HHO),-1,-1
63876440727ddf9f05e5847e,PLATO-2,-1,-1
63876440727ddf9f05e58480,BezierAlign,-1,-1
63876440727ddf9f05e58482,Progressive Neural Architecture Search,-1,-1
63876440727ddf9f05e58484,Bridge-net,-1,-1
63876440727ddf9f05e58486,PGC-DGCNN,-1,-1
63876440727ddf9f05e58488,Multiplex Molecular Graph Neural Network,-1,-1
63876440727ddf9f05e5848a,Inception-ResNet-v2 Reduction-B,-1,-1
63876440727ddf9f05e5848c,Graph Representation with Global structure,-1,-1
63876440727ddf9f05e5848e,YellowFin,-1,-1
63876440727ddf9f05e58490,Non-Local Operation,-1,-1
63876440727ddf9f05e58492,DCGAN,-1,-1
