docid,language,num_cells,num_code_cells,num_md_cells,len_md_text
NB_26e572f53351c1221071f9eddc4e8ceb8c91a3c9be6adf4f2194dfce7b54845d,python,48,21,27,57
NB_ee98d68f2e949cd6e9ab74a1163fbb312ab55c1180b70373e4a34cfab196fa2a,python,8,8,0,0
NB_78859b9a27cc21e59842f22c3829697e63d170923f764adf76c463f73b92228a,python,6,5,1,1
NB_93cd29a2acda3cfbb267b05174fea04f6aca5f6f05cde8109ecdd7483f77c04d,python,44,22,22,176
NB_6e96074e16f7f32a1e08825ab2ad3aeb380a4e2582a8928e3ffeddc03bad747b,python,8,8,0,0
NB_583835aa5fa04dddcdf6c15dcfe4ac1d00497adfb393ae4f1c3724bd796c0c1e,python,22,20,2,2
NB_241617ea14f8b2e20e352a2bf1a76845e5d868510270c9e0cdd9bddef41c520e,python,32,17,15,58
NB_e523b69e1e216a151e3c809aa3274c77d9de84f477e9200dbb11ecdb542795d4,python,14,8,6,9
NB_ff8d5a8e2498a2e74afac7649b4db6d099009c802c35ccc8567ded94a9ac81b5,python,11,11,0,0
NB_d2c857bae52a3992b4eb2ae7676f01db40a3294e244a3685cd7327e7587bf8dc,python,39,31,8,48
NB_7fb456c1a0aa0c776490321c708a4a5f54a1ec7e51750f90dd05a50930c8dfb7,python,12,6,6,49
NB_98ea3e82bbd4ed42cee0ace9fffa268f33b039d283a7dbdebed75c20b522055a,python,5,2,3,24
NB_9b19b08fc86459955eaa3afeeec21f8afcb7e31d97f0d90b72e5e4cbba05c96d,python,31,21,10,10
NB_ad6df29ca5775423a15a107e39cffa040274514118c5e0481249a7f0871a2fd9,python,26,26,0,0
NB_bcc84158cda51afc6b74098c396f1d81a7a6a90fd7176381fa5712a8e0bcf166,python,15,14,1,1
NB_a1db4ba70a32a4b9fdfd2e9c1e137d06a67cda604af28518086bcf335f84d718,python,47,45,2,2
NB_020d7d084c6778aa849f663edf6054e0954f137090ccb8551acfc2578bb491bf,python,106,85,21,21
NB_abc8c259632cd577b57db105cca85c6e498ed435f662d306d18886167ed677b5,python,26,19,7,10
NB_6e83990b67e83c7ea15fa9a1a87eb90f59287a8f63869a58f0b7443e2202fb6a,python,84,49,35,175
NB_3421700e956365a49e539a377753f0e2ec98ef7ba667b9da06cf5246ff08a58a,python,32,18,14,148
